id,slug,name,gruppe,filter,kategorie,typ,klasse,ziel,grund
6da8afa3-a470-ca0d-76bf-1fdfcffe0755,f05_ac_262536,AC-262536,enhanced,sarm,sarm,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
2de84358-42ff-4fb2-6f2d-a47450ef8cff,f05_albuterol_salbutamol,Albuterol (Salbutamol),enhanced,fatburner,fatburner,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
fe347c15-af63-f8dd-8823-12d887bac0cb,f05_anadrol_oxymetholone,Anadrol (Oxymetholone),enhanced,orale_aas,orale_aas,,a_handelsname,Oxymetholone,kuratierte Handels-/Trivialnamen-Zuordnung
6edbc9fb-927a-13a0-92dc-77bc280a7319,f05_anastrozole_arimidex,Anastrozole (Arimidex),enhanced,begleitmedikation,begleitmedikation,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
6d332cbc-8ef4-dbec-ff71-b39e43db6beb,f05_anavar_oxandrolone,Anavar (Oxandrolone),enhanced,orale_aas,orale_aas,,a_handelsname,Oxandrolone,kuratierte Handels-/Trivialnamen-Zuordnung
3d711cb9-2ab6-2606-57ac-210c07ecefa0,f05_atd_1_4_6_androstatriene_3_17_dione,"ATD (1,4,6-Androstatriene-3,17-dione)",enhanced,begleitmedikation,begleitmedikation,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
c5d3a486-bd2f-f154-167b-cbca475c6ce3,f05_bms_564929,BMS-564929,enhanced,sarm,sarm,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
86ccb012-a9ae-de15-2527-c82d72acf0f7,f05_boldenone_acetate,Boldenone Acetate,enhanced,injizierbare_aas,injizierbare_aas,,a_handelsname,Boldenone undecylenate,kuratierte Handels-/Trivialnamen-Zuordnung
05e5e687-7ef3-ebaa-fb44-0a05ade73722,f05_boldenone_cypionate,Boldenone Cypionate,enhanced,injizierbare_aas,injizierbare_aas,,a_handelsname,Boldenone undecylenate,kuratierte Handels-/Trivialnamen-Zuordnung
f998e0b4-fdfd-b5c9-957b-d17aac14c101,f05_bulk_mix_test_e_deca_eq,Bulk Mix (Test E + Deca + EQ),enhanced,injizierbare_aas,injizierbare_aas,,b_kombination,,Name nennt Stack/Mix/Kombination
f14272f6-974b-2748-fa9b-3a4798c187c8,f05_cabergoline_dostinex,Cabergoline (Dostinex),enhanced,begleitmedikation,begleitmedikation,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
887dd026-0f71-fdd7-1aa4-d41e718d9818,f05_caffeine_diuretic,Caffeine (Diuretic),enhanced,fatburner,fatburner,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
9a46ad68-7133-68c4-f7cf-ce330b3b22c6,f05_calusterone,Calusterone,enhanced,orale_aas,orale_aas,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
dd661029-d7bd-29ee-832c-45efe3f97fc7,f05_cardarine_gw_501516,Cardarine (GW-501516),enhanced,sarm,sarm,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
9453b0fc-8936-03b1-dcdd-a2d8e01dd0c6,f05_cheque_drops_mibolerone,Cheque Drops (Mibolerone),enhanced,orale_aas,orale_aas,,c_eigener_stoff,,keine Kombinationssignale und kein belegter Zielstoff im sichtbaren Katalog
