resolution_status     |   entity_id    |                    field_conflict                     |                                                old_value                                                 |                                             new_value                                             |                                                                                               detail                                                                                               
--------------------------+----------------+-------------------------------------------------------+----------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 OPEN_INCHIKEY_MISMATCH   | sub_271e0f2373 | external_ids.pubchem.inchikey                         | "{\"cid\": 125672, \"inchikey\": null}"                                                                  | PubChem liefert fuer CID 125672: YSPZCHGIWAQVKQ-AVGNSLFASA-N (Formel identisch: C16H30N4O4)       | KPV: Summenformel stimmt, InChIKey weicht ab (Stereo-/Tautomer-Variante?); kanonischer Record nicht ueberschrieben.
 OPEN_INCHIKEY_MISMATCH   | sub_74cb0c22b1 | external_ids.pubchem.inchikey                         | "{\"cid\": 91971820, \"inchikey\": null}"                                                                | PubChem liefert fuer CID 91971820: ZUQGTWKGESAQCD-ZGFIGYLBSA-N (Formel identisch: C165H269N47O46) | CJC-1295 with DAC: Summenformel stimmt, InChIKey weicht ab (Stereo-/Tautomer-Variante?); kanonischer Record nicht ueberschrieben.
 OPEN_TRUE_CONFLICT       | sub_2c308411e9 | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 6435808, \"formula\": \"C10H12FN3O4\", \"inchikey\": \"GFFXZLZWLOBBLO-ASKVSEFXSA-N\"}"        | correct_cid=2519                                                                                  | Verdict TRUE_CONFLICT. stored_cid=6435808; korrekte CID lt. PubChem: 2519 � kanonischer Record NICHT ueberschrieben (Konflikt-Record statt Silent Overwrite).
 OPEN_TRUE_CONFLICT       | sub_3701d02096 | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 313, \"formula\": \"ClH\", \"inchikey\": \"VEXZGXHMUGYJMC-UHFFFAOYSA-N\"}"                    | correct_cid=134732                                                                                | Verdict TRUE_CONFLICT. stored_cid=313; korrekte CID lt. PubChem: 134732 � kanonischer Record NICHT ueberschrieben (Konflikt-Record statt Silent Overwrite).
 OPEN_TRUE_CONFLICT       | sub_5baffd3a06 | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 53342705, \"formula\": \"C15H17N3O4S\", \"inchikey\": \"HGVHSNXRZYOTPD-UHFFFAOYSA-N\"}"       | correct_cid=9824562                                                                               | Verdict TRUE_CONFLICT. stored_cid=53342705; korrekte CID lt. PubChem: 9824562 � kanonischer Record NICHT ueberschrieben (Konflikt-Record statt Silent Overwrite).
 OPEN_TRUE_CONFLICT       | sub_638f7df8fd | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 5235, \"formula\": \"FNa\", \"inchikey\": \"PUZPDOWCWNUUKD-UHFFFAOYSA-M\"}"                   | correct_cid=16133831                                                                              | Verdict TRUE_CONFLICT. stored_cid=5235; korrekte CID lt. PubChem: 16133831 � kanonischer Record NICHT ueberschrieben (Konflikt-Record statt Silent Overwrite).
 OPEN_TRUE_CONFLICT       | sub_7b11e1274c | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 9835593, \"formula\": \"C10H20N6O4\", \"inchikey\": \"NPDLYUOYAGBHFB-UHFFFAOYSA-N\"}"         | correct_cid=439924                                                                                | Verdict TRUE_CONFLICT. stored_cid=9835593; korrekte CID lt. PubChem: 439924 � kanonischer Record NICHT ueberschrieben (Konflikt-Record statt Silent Overwrite).
 OPEN_TRUE_CONFLICT       | sub_e93f8eecfc | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 4369448, \"formula\": \"C11H19N3O6S\", \"inchikey\": \"XFOOPZIJVVDYHI-BQBZGAKWSA-N\"}"        | keine Korrektur (Name-Lookup-Artefakt); Bestandswerte plausibel                                   | Verdict TRUE_CONFLICT. stored_cid=4369448; Name-Lookup liefert andere CID als gespeichert, gespeicherte Werte aber intern konsistent (Artefakt des Namens-Lookups, z. B. Salz-/Ion-Form).
 REVIEWED_LOOKUP_ARTIFACT | sub_0b47b336dc | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 14299596, \"formula\": \"C19H28O2\", \"inchikey\": \"DYMROBVXGSLPAY-OFLQVFCSSA-N\"}"          | keine Korrektur (Name-Lookup-Artefakt); Bestandswerte plausibel                                   | Verdict NAME_LOOKUP_ARTIFACT. stored_cid=14299596; Name-Lookup liefert andere CID als gespeichert, gespeicherte Werte aber intern konsistent (Artefakt des Namens-Lookups, z. B. Salz-/Ion-Form).
 REVIEWED_LOOKUP_ARTIFACT | sub_1b98d69c9a | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 24393, \"formula\": \"FeO4S\", \"inchikey\": \"BAUYGSIQEAFULO-UHFFFAOYSA-L\"}"                | keine Korrektur (Name-Lookup-Artefakt); Bestandswerte plausibel                                   | Verdict NAME_LOOKUP_ARTIFACT. stored_cid=24393; Name-Lookup liefert andere CID als gespeichert, gespeicherte Werte aber intern konsistent (Artefakt des Namens-Lookups, z. B. Salz-/Ion-Form).
 REVIEWED_LOOKUP_ARTIFACT | sub_1c62138dc3 | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 118984375, \"formula\": \"C257H383N65O77S6\", \"inchikey\": \"PBGKTOXHQIOBKM-FHFVDXKLSA-N\"}" | keine Korrektur (Name-Lookup-Artefakt); Bestandswerte plausibel                                   | Verdict NAME_LOOKUP_ARTIFACT. stored_cid=118984375; Name-Lookup liefert andere CID als gespeichert, gespeicherte Werte aber intern konsistent (Artefakt des Namens-Lookups, z. B. Salz-/Ion-Form).
 REVIEWED_LOOKUP_ARTIFACT | sub_271e0f2373 | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 125672, \"formula\": \"C16H30N4O4\", \"inchikey\": null}"                                     | keine Korrektur (Name-Lookup-Artefakt); Bestandswerte plausibel                                   | Verdict NAME_LOOKUP_ARTIFACT. stored_cid=125672; Name-Lookup liefert andere CID als gespeichert, gespeicherte Werte aber intern konsistent (Artefakt des Namens-Lookups, z. B. Salz-/Ion-Form).
 REVIEWED_LOOKUP_ARTIFACT | sub_471f5dcf68 | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 10898559, \"formula\": \"C63H91CoN13O14P\", \"inchikey\": \"ZFLASALABLFSNM-WYVZQNDMSA-L\"}"   | keine Korrektur (Name-Lookup-Artefakt); Bestandswerte plausibel                                   | Verdict NAME_LOOKUP_ARTIFACT. stored_cid=10898559; Name-Lookup liefert andere CID als gespeichert, gespeicherte Werte aber intern konsistent (Artefakt des Namens-Lookups, z. B. Salz-/Ion-Form).
 REVIEWED_LOOKUP_ARTIFACT | sub_4e2f06871f | external_ids.pubchem (CID/Formula/InChIKey Kohaerenz) | "{\"cid\": 4875, \"formula\": \"IK\", \"inchikey\": \"NLKNQRATVPKPDG-UHFFFAOYSA-M\"}"                    | keine Korrektur (Name-Lookup-Artefakt); Bestandswerte plausibel                                   | Verdict NAME_LOOKUP_ARTIFACT. stored_cid=4875; Name-Lookup liefert andere CID als gespeichert, gespeicherte Werte aber intern konsistent (Artefakt des Namens-Lookups, z. B. Salz-/Ion-Form).
