slug                |                   name_en                    |   gruppe   |   category_slug   |          source           |                                                                     form                                                                     | evidence_grade 
-----------------------------------+----------------------------------------------+------------+-------------------+---------------------------+----------------------------------------------------------------------------------------------------------------------------------------------+----------------
 sub_cb8f61f4d7                    | 6-OXO                                        | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_81c748a523                    | alpha-Naphthoflavone (7,8-benzoflavone)      | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | F
 sub_7504c16f98                    | Anastrozole (PCT/estrogen control)           | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | A
 sub_8e6896c99e                    | Arimistane (androsta-3,5-diene-7,17-dione)   | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | F
 sub_59fc68e6a9                    | ATD                                          | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_b30d752d32                    | Bromocriptine                                | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_e93f8eecfc                    | Chorionic gonadotropin (hCG)                 | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 f05_chrysin                       | Chrysin                                      | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_9c77fadbff                    | Clomiphene (off-label male use)              | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | B
 sub_6d7c609bbc                    | Clomiphene citrate                           | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | A
 sub_58c39bb945                    | Exemestane                                   | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_7f0380299c                    | Formestane                                   | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_5548f5b866                    | HCG/PCT-adjacent: Enclomiphene               | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | C
 sub_5508e0ab3a                    | Letrozole                                    | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | A
 sub_918def0f47                    | Levothyroxine (T4)                           | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | A
 sub_56e21c3a4d                    | Liothyronine (T3)                            | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | A
 sub_1f7249ea3d                    | Pramipexole                                  | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_0456fd1938                    | Raloxifene                                   | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_998e4d9679                    | Tamoxifen citrate                            | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | A
 sub_3a6a2cae86                    | Testolactone                                 | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_833ebc730f                    | Toremifene                                   | enhanced   | begleitmedikation | kimi_performance          |                                                                                                                                              | D
 sub_6a962fb8f9                    | 2,4-Dinitrophenol                            | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | D
 sub_d98e916343                    | BAM15                                        | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | E
 sub_6239001af2                    | Clenbuterol                                  | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | D
 sub_aa14399de6                    | DMAA (1,3-dimethylamylamine)                 | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | F
 sub_ce519c64b8                    | DMHA (octodrine) — see supplements entry     | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | F
 sub_297c75ae3e                    | Ephedrine                                    | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | D
 f05_eplerenone                    | Eplerenone                                   | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | A
 sub_9aff94ad05                    | Fladrafinil (CRL-40,941)                     | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | E
 sub_f787f6a6e7                    | Flmodafinil (CRL-40,940)                     | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | E
 sub_83e3923030                    | Furosemide                                   | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | A
 sub_f3f18e1485                    | Hydrochlorothiazide                          | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | A
 f05_pamabrom                      | Pamabrom                                     | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | C
 sub_0e481497e9                    | Rimonabant                                   | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | D
 f05_spironolactone                | Spironolactone                               | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | A
 sub_f75645d0ef                    | Tesofensine                                  | enhanced   | fatburner         | kimi_performance          |                                                                                                                                              | D
 sub_af6dd9482e                    | Boldenone undecylenate                       | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_e957baf3f8                    | Drostanolone enanthate                       | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 sub_48f8d08104                    | Drostanolone propionate                      | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
 f05_fulvestrant                   | Fulvestrant                                  | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | A
 f05_halotestin_injectable         | Halotestin Injectable                        | enhanced   | injizierbare_aas  | kimi_performance          |                                                                                                                                              | D
